,player_name,player_birth,player_physical,player_no,player_position,player_exprience,player_payment,player_salaly,player_draft,player_join
80043,박재천,1957년 10월 10일,0cm/0kg,,내야수(우투우타),휘문고,,,,
80044,박전섭,1959년 02월 04일,0cm/0kg,,포수(우투우타),동국대,,,,
80045,박종호,1964년 12월 07일,0cm/0kg,,내야수(우투우타),대전고,,,,
80046,박찬,1955년 04월 26일,0cm/0kg,,외야수(우투우타),경북고,,,,
80047,박해종,1952년 09월 09일,0cm/0kg,,외야수(우투우타),연세대,,,,
80048,박희찬,1963년 05월 01일,0cm/0kg,,외야수(우투우타),경남고-동아대,,,,
80049,배원영,1962년 01월 15일,0cm/0kg,,포수(우투우타),세광고-건국대,,,,
80050,사인상,1960년 12월 18일,0cm/0kg,,내야수(우투우타),동대문상,,,,
80052,송경섭,1960년 11월 26일,0cm/0kg,,내야수(우투우타),인하대,,,,
80053,서정환,1955년 07월 05일,178cm/76kg,89,(우투우타),대구신암초-경상중-경북고-건국대-삼성-해태,,,,
80054,송상진,1962년 03월 22일,0cm/0kg,,내야수(우투우타),영남대,,,,
80056,송영운,1952년 12월 15일,0cm/0kg,,외야수(좌투좌타),장충고,,,,
80057,송일수,1950년 12월 13일,173cm/75kg,86,(우투우타),일본 헤이안고-삼성,,,,84삼성
80058,송형석,1965년 01월 28일,0cm/0kg,,내야수(좌투좌타),단국대,,,,
80059,신성철,1964년 08월 10일,0cm/0kg,,포수(우투우타),영남대,,,,
80060,안민석,1966년 02월 07일,0cm/0kg,,외야수(우투우타),영남대,,,,
80070,양현기,1966년 11월 20일,0cm/0kg,,포수(우투우타),광주상고-단국대,,,,
80071,엄태섭,1959년 07월 17일,0cm/0kg,,외야수(좌투좌타),동아대,,,,
80072,오덕환,1959년 02월 14일,0cm/0kg,,내야수(우투우타),세광고,,,,
80073,유고웅,1958년 12월 21일,0cm/0kg,,내야수(우투우타),일본 상관고,,,,
80074,유광진,1965년 10월 19일,0cm/0kg,,내야수(우투우타),경북고-연세대,,,,
80075,유남호,1951년 09월 03일,183cm/85kg,90,(우투우타),선린상고-연세대-해태-태평양,,,,
80077,유성룡,1960년 07월 18일,0cm/0kg,,내야수(우투우타),경기고-중앙대,,,,
80078,유제룡,1956년 08월 11일,0cm/0kg,,외야수(우투우타),휘문고,,,,
80079,윤동균,1949년 07월 02일,0cm/0kg,,(좌투좌타),동대문상고,,,,
80080,윤찬,1967년 10월 17일,0cm/0kg,,내야수(우투우타),미국 밥티스트대,,,,
80081,윤혁,1967년 05월 22일,0cm/0kg,,외야수(좌투좌타),고려대,,,,
80082,윤홍식,1962년 06월 26일,0cm/0kg,,외야수(우투우타),북일고-인하대,,,,
80083,이경수,1959년 05월 27일,0cm/0kg,,외야수(우투우타),한양대,,,,
80084,이군노,1961년 02월 27일,0cm/0kg,,내야수(우투우타),광주상고-성균관대,,,,
80085,이근식,1959년 06월 23일,0cm/0kg,,외야수(좌투좌타),한양대,,,,
80086,이근식,1958년 03월 02일,0cm/0kg,,외야수(좌투좌타),공주고,,,,
80087,이동수,1962년 08월 05일,0cm/0kg,,투수(우투우타),춘천고,,,,
80088,이동완,1962년 02월 14일,0cm/0kg,,내야수(우투우타),부산상고-동아대,,,,
80089,이병억,1962년 01월 05일,0cm/0kg,,내야수(우투우타),인천고-연세대,,,,
80090,이삼열,1955년 03월 10일,0cm/0kg,,내야수(우투우타),대구상고,,,,
80091,이상훈,1963년 10월 22일,177cm/90kg,81,(우투우타),대구수창초-경상중-경북고-연세대-청보-OB,,,,87청보
80092,이석규,1957년 02월 13일,0cm/0kg,,내야수(우투우타),마산상고-동아대,,,,
80093,이성근,1962년 06월 23일,0cm/0kg,,포수(우투우타),대구고-한양대,,,,
80094,이성득,1953년 07월 21일,0cm/0kg,,내야수(우투우타),고려대,,,,
80095,이성수,1960년 10월 23일,0cm/0kg,,외야수(좌투좌타),충암고,,,,
80097,이영구,1954년 12월 24일,0cm/0kg,,내야수(우투우타),일본 오항고,,,,
80098,이재호,1966년 03월 07일,0cm/0kg,,포수(우투우타),경성대,,,,
80099,이정은,1962년 05월 23일,0cm/0kg,,외야수(우투우타),경기고,,,,
80111,이찬선,1962년 05월 21일,0cm/0kg,,내야수(우투우타),동산고,,,,
80112,이춘근,1948년 03월 01일,0cm/0kg,,외야수(우투우타),동산고,,,,
80113,이홍식,1964년 01월 30일,0cm/0kg,,내야수(우투우타),경북고-영남대,,,,
80114,임순태,1962년 05월 05일,0cm/0kg,,내야수(우투우타),대구고-영남대,,,,
80115,임신근,1949년 11월 28일,0cm/0kg,,내야수(좌투좌타),경북고,,,,
80116,임정면,1958년 09월 17일,0cm/0kg,,내야수(우투우타),건국대,,,,
80117,임창호,1959년 01월 05일,0cm/0kg,,외야수(우투우타),건국대,,,,
80201,장정기,1958년 08월 10일,0cm/0kg,,내야수(우투우타),인하대,,,,
80202,장훈,1961년 06월 26일,0cm/0kg,,내야수(우투우타),연세대,,,,
80203,정문섭,1960년 04월 04일,0cm/0kg,,외야수(우투우타),동대문상,,,,
80204,정성만,1955년 10월 10일,0cm/0kg,,투수(좌투좌타),성균관대,,,,
80500,정재훈,1972년 03월 14일,0cm/0kg,,내야수(우투우타),중앙고,,,,
80501,정태관,1961년 06월 05일,0cm/0kg,,외야수(우투우타),대광고-인천전문대,,,,
80502,정학수,1956년 12월 04일,0cm/0kg,,내야수(우투우타),동아대,,,,
80531,조만형,1970년 01월 12일,0cm/0kg,,내야수(우투우타),원광대,,,,
80532,조상헌,1964년 05월 03일,0cm/0kg,,내야수(우투우타),성광고-건국대,,,,
80535,조호,1957년 09월 22일,0cm/0kg,,내야수(우투우타),성균관대,,,,
80536,조흥운,1954년 08월 13일,0cm/0kg,,내야수(우투우타),건국대,,,,
80538,차영석,1964년 10월 06일,0cm/0kg,,외야수(우투우타),한양대,,,,
80539,최광묵,1960년 01월 01일,0cm/0kg,,외야수(우투우타),인천고-인하대,,,,
80560,최무영,1962년 11월 02일,0cm/0kg,,외야수(우투우타),고려대,,,,
80561,최순하,1955년 01월 15일,0cm/0kg,,포수(우투우타),동아대,,,,
80562,최영조,1963년 01월 15일,0cm/0kg,,내야수(우투우타),광주상고,,,,
80574,김경훈,1957년 01월 10일,0cm/0kg,,포수(우투우타),신일고,,,,
80582,최재은,1961년 08월 24일,0cm/0kg,,외야수(우투우타),동대문상고,,,,
80583,최정기,1956년 07월 16일,0cm/0kg,,포수(우투우타),동국대,,,,
80584,추상완,1971년 01월 28일,0cm/0kg,,내야수(우투우타),동래고,,,,
80585,치멜리스,1967년 07월 27일,0cm/0kg,,내야수(우투우타),미국 텍사스주립대,,,98 한화 자유선발,
80587,쿨바,1966년 06월 13일,0cm/0kg,,내야수(우투우타),미국 텍사스대,,,98 현대 자유선발,
80589,탁재원,1962년 01월 14일,0cm/0kg,,내야수(우투우타),중앙대,,,,
80611,하용석,1966년 06월 23일,0cm/0kg,,포수(우투우타),경북고-한양대,,,,
80612,허운,1959년 08월 18일,0cm/0kg,,내야수(우투우타),중앙대,,,,
80614,헤어,1967년 03월 26일,0cm/0kg,,외야수(좌투좌타),미국 센트럴 미시건대,,,98 해태 자유선발,
80615,홍순만,1957년 07월 11일,0cm/0kg,,포수(우투우타),동국대,,,,
80617,홍순호,1962년 01월 21일,0cm/0kg,,내야수(좌투좌타),경북고,,,,
80618,홍신차,1959년 01월 03일,0cm/0kg,,내야수(우투우타),일본 협립상고,,,,
80619,홍희섭,1957년 02월 08일,0cm/0kg,,내야수(우투우타),중앙고-성균관대,,,,
80620,황규봉,1953년 04월 24일,0cm/0kg,,투수(우투우타),고려대,,,,
80623,황윤태,1963년 05월 08일,0cm/0kg,,외야수(우투우타),부산고-동아대,,,,
81992,기세봉,1960년 02월 01일,0cm/0kg,,투수(우투우타),충암고,,,,
82000,함학수,1955년 01월 02일,182cm/88kg,76,(우투우타),경북고,,,,
82001,정구왕,1954년 03월 26일,0cm/0kg,,외야수(우투우타),중앙대,,,,
82003,선우대영,1957년 09월 12일,0cm/0kg,,투수(좌투좌타),중앙대,,,,
